Code,Name,Close,Location,Industry,List_date,Years,Profit,EPS1618,EPS1113,Book_Value,div,div2,PE1618,dir_rate,Growth,Growth2,liquidity_ratio,有形资产/债务,PB,Mkt_value
300181.SZ,佐力药业,5.18,浙江,医药生物,2011/2/22,0,1,0.073333333,0.55,2.1221,是,1,70.63636364,234.630538,-0.866666667,-86.67%,1.766879939,4.023783856,2.440978276,2945744264
603602.SH,纵横通信,21.72,浙江,通信,2017/8/10,0,1,0.733333333,0.716666667,6.0305,是,1,29.61818182,15.09347937,0.023255814,2.33%,2.732182763,-1.936434422,3.601691402,3702048000
002431.SZ,棕榈股份,2.55,河南,建筑装饰,2010/6/10,0,0,0.11,0.79,3.7286,-,0,23.18181818,0,-0.860759494,-86.08%,1.187868273,1.15193629,0.683902805,4520435768
600770.SH,综艺股份,5.16,江苏,综合,1996/11/20,1,0,0.0384,-0.046666667,2.6601,-,0,134.375,0,-1.822857143,-182.29%,1.964471658,-4.189981315,1.9397767,6539000000
001696.SZ,宗申动力,5.35,重庆,汽车,1997/3/6,1,1,0.272933333,0.295,3.5806,是,1,19.60185638,70.40704388,-0.07480226,-7.48%,1.874213771,11.99065197,1.494162989,6080092945
002118.SZ,紫鑫药业,5.78,吉林,医药生物,2007/3/2,1,1,0.186666667,0.23,3.3633,-,0,30.96428571,0,-0.188405797,-18.84%,1.915467484,1.168128804,1.718550233,7095409436
601899.SH,紫金矿业,4.16,福建,有色金属,2008/4/25,1,0,0.06,0.08,1.5401,是,1,69.33333333,56.25914125,-0.25,-25.00%,0.995881639,0.722308913,2.701123304,90343045408
600210.SH,紫江企业,4.49,上海,轻工制造,1999/8/24,1,1,0.266333333,0.212666667,2.9465,是,1,16.85857322,52.57411724,0.252351097,25.24%,0.944156614,1.219779131,1.523841846,5263074468
000526.SZ,紫光学大,39.25,福建,传媒,1993/11/1,1,0,-0.2126,0.005033333,0.8725,-,0,10000,0,-43.2384106,-4323.84%,0.428245266,-1.718115738,44.98567335,2972428806
002049.SZ,紫光国微,57.95,河北,电子,2005/6/6,1,1,0.5295,0.495266667,6.2529,是,1,109.4428706,10.11439538,0.069121012,6.91%,3.010783298,-2.841191174,9.267699787,27185444966
000938.SZ,紫光股份,45.42,北京,计算机,1999/11/4,1,1,1.248666667,0.35,18.2012,是,1,36.37479979,12.84718083,2.567619048,256.76%,1.674045294,-23.18968633,2.495439861,55260829002
002369.SZ,卓翼科技,10.57,广东,电子,2010/3/16,1,0,-0.033333333,0.42,3.4227,-,0,10000,0,-1.079365079,-107.94%,1.289302636,7.667130799,3.088205218,5074020861
