Code,Name,Close,Location,Industry,List_date,2018/12/31,2017/12/31,2016/12/31,2015/12/31,2014/12/31,2013/12/31,2012/12/31,2011/12/31,2010/12/31,2009/12/31,2008/12/31,2007/12/31,2006/12/31,Profit,平均EPS(2016-18),平均EPS(2011-13),净资产,div,PE1618,分红比率,Growth,流动比例,有形资产/债务,PB,Mkt_value,市值>500亿,PE<15,流动比例>2,Y6,市净率<1.5,上市超过6年,PB<1.5的沪深300,PE*PB<22.5,
000001.SZ,平安银行,14.5000,广东,银行,1991-04-03,1.3900 ,1.3000 ,1.3200 ,1.5600 ,1.7300 ,1.8600 ,2.6200 ,2.4700 ,1.9100 ,1.6200 ,0.2000 ,1.2200 ,0.6700 ,1,1.34,2.32,12.8200,是,10.85,10.0319,-42.30%,0.0000,0.0000,1.13,"296,716,489,247.42",1,1,0,1,1,1,1,1,
000002.SZ,万  科Ａ,29.5900,广东,房地产,1991-01-29,3.0600 ,2.5400 ,1.9000 ,1.6400 ,1.4300 ,1.3700 ,1.1400 ,0.8800 ,0.6600 ,0.4800 ,0.3700 ,0.7300 ,0.0000 ,1,2.50,1.13,14.1100,是,11.84,34.9747,121.24%,1.2009,5.4609,2.10,"313,069,361,127.70",1,1,0,1,0,1,0,0,
000004.SZ,国农科技,40.7000,广东,医药生物,1991-01-14,-0.2414,0.1020 ,0.4680 ,0.0149 ,0.0500 ,-0.0123,0.0239 ,0.0356 ,0.1384 ,0.0294 ,-0.1324,-0.1104,0.0000 ,0,0.11,0.02,1.3008,-,371.58,0.0000,596.19%,2.0690,-1.0104,31.29,"1,671,975,778.44",0,0,1,1,0,1,0,0,
000005.SZ,世纪星源,2.7900,广东,公用事业,1990-12-10,0.1406 ,0.0145 ,0.1026 ,-0.0596,0.0472 ,-0.0463,0.0241 ,0.0125 ,0.0050 ,-0.0540,0.0100 ,0.0800 ,0.0000 ,0,0.09,0.00,1.4069,-,32.48,0.0000,-2756.70%,0.8606,1.9207,1.98,"3,101,512,947.06",0,0,0,1,0,1,0,0,
000006.SZ,深振业Ａ,4.6300,广东,房地产,1992-04-27,0.6476 ,0.5968 ,0.5767 ,0.3087 ,0.3763 ,0.5156 ,0.4800 ,0.4388 ,0.6330 ,0.6400 ,0.2962 ,1.0200 ,0.0000 ,1,0.61,0.48,4.5909,是,7.63,30.1116,26.96%,1.6652,7.0279,1.01,"6,911,974,635.52",0,1,0,1,1,1,1,1,
000007.SZ,全 新 好,8.6300,广东,商业贸易,1992-04-13,-0.5700,0.0475 ,0.3378 ,0.0606 ,-0.1307,0.1007 ,0.0378 ,0.0269 ,0.0640 ,0.1413 ,-0.3310,0.0625 ,0.0000 ,0,-0.06,0.06,0.5505,-,10000.00,0.0000,-211.67%,3.7205,-42.1819,15.68,"3,467,944,920.44",0,0,1,1,0,1,0,0,
000008.SZ,神州高铁,3.1200,北京,机械设备,1992-05-07,0.1160 ,0.3110 ,0.1920 ,0.0780 ,0.0300 ,0.0700 ,0.2600 ,-0.0073,0.0121 ,0.0043 ,0.0100 ,0.0200 ,0.0000 ,1,0.21,0.11,2.6298,是,15.12,8.4982,91.82%,1.8903,17.8100,1.19,"9,760,591,664.46",0,0,0,1,1,1,1,1,
000009.SZ,中国宝安,7.4100,广东,综合,1991-06-25,0.1000 ,0.0600 ,0.1100 ,0.5000 ,0.2000 ,0.2300 ,0.1500 ,0.2500 ,0.3000 ,0.2300 ,0.1900 ,0.2400 ,0.0000 ,1,0.09,0.21,2.4522,是,82.33,20.1080,-57.14%,1.6416,0.3578,3.02,"11,529,086,423.55",0,0,0,1,0,1,0,0,
000010.SZ,美丽生态,3.4600,广东,建筑装饰,1995-10-27,-0.8922,-1.2947,0.0486 ,0.0542 ,-0.1268,0.0053 ,0.0050 ,0.0300 ,-0.0100,0.0500 ,0.1100 ,-0.2000,0.0000 ,0,-0.71,0.01,0.5115,-,10000.00,0.0000,-5405.96%,1.5426,2.6692,6.76,"2,705,520,552.90",0,0,0,1,0,1,0,0,
000011.SZ,深物业Ａ,7.6300,广东,房地产,1992-03-30,0.9945 ,1.0453 ,0.5954 ,0.2631 ,0.7005 ,0.5048 ,0.6299 ,0.4300 ,0.2936 ,0.1626 ,0.0181 ,-0.0505,0.0000 ,1,0.88,0.52,5.6008,是,8.69,30.1648,68.42%,1.8648,-1.0225,1.36,"5,369,771,618.92",0,1,0,1,1,1,1,1,
000012.SZ,南  玻Ａ,5.0600,广东,建筑材料,1992-02-28,0.1600 ,0.3500 ,0.3800 ,0.3000 ,0.4200 ,0.7400 ,0.1300 ,0.5700 ,0.7000 ,0.6800 ,0.3500 ,0.4100 ,0.0000 ,1,0.30,0.48,3.1793,是,17.06,31.1903,-38.19%,0.6620,1.7401,1.59,"13,582,817,232.31",0,0,0,1,0,1,0,0,
000014.SZ,沙河股份,8.1600,广东,房地产,1992-06-02,0.7238 ,0.0378 ,0.1418 ,0.2626 ,0.3013 ,0.1426 ,0.1386 ,0.2692 ,0.3500 ,0.3977 ,0.2160 ,0.0140 ,0.0000 ,1,0.30,0.18,4.3866,是,27.10,9.1182,64.14%,2.1243,-25.0067,1.86,"1,762,903,334.38",0,0,1,1,0,1,0,0,
